½Ã°£,Residential Load(Based),Office Load,School Load
1,19.97545468,38.9361842,56.19235477
2,16.423165,38.9361842,55.45535748
3,15.91351326,38.9361842,55.45481418
4,15.67317052,38.9361842,55.44960105
5,15.60007528,38.9361842,55.44081418
6,17.73616101,38.9361842,56.49254875
7,22.2612496,41.61660021,56.31844741
8,27.51733397,174.8965829,65.45755782
9,25.93184366,142.9650698,122.5131939
10,24.20825962,160.747685,165.9993067
11,21.29927562,139.9187825,165.8968994
12,18.31625506,137.441157,170.2891924
13,18.39101009,138.2056974,171.5674029
14,18.00892253,142.0450479,171.2016474
15,17.68710508,136.9978739,167.5462384
16,17.50664777,127.1629139,167.5000847
17,18.87385561,125.3399825,164.7382296
18,29.93520592,143.1739156,169.3601965
19,37.43694381,143.6864631,129.023062
20,39.48791195,116.1485087,129.1604008
21,38.58684771,118.2455578,129.4480922
22,38.21955187,111.4562567,129.516998
23,32.82160692,115.8540436,55.32771243
24,26.02054551,41.61660021,55.37261959
